sample_id,text_customer,text_delta,ground_truth_intent,pred_intent,pred_escalate,pred_reply,llm_judge_score,human_groundedness,human_helpfulness,human_tone,human_safety,human_overall_score,human_notes
12,@Delta Not any airport but like hypothetically do leave like from Saskatoon to New York,"@340602 Hi, Delta flights from Saskatoon to Minneapolis. *TMC",Needs_Context_or_DM,Flight_Status_and_Upgrades,False,"Hi there!  
Delta doesn’t currently operate a direct flight from Saskatoon to New York. You can still get there by connecting through one of our hub airports (e.g., Calgary, Toronto, or Minneapolis) or by flying with a Delta‑partner airline that serves Saskatoon and then connecting to a Delta flight.  

Feel free to check the Delta website or the “Partner Airlines” section for the best routing options. If you need help planning a trip, let us know and we’ll gladly point you in the right direction! ✈️",5.0,5.0,5.0,5.0,4.0,4.0,"It is factually useful, and is factually correct. However as per policy and data, the agent should be able to phrase a perfect reply when provided."
13,"@Delta Thank you. I had read the info and thought, “a video would certainly help this.” I’ll send my daughter from Japan to MSP next summer. I think the conditions are different for international UMNR.","@382840 Hi, Justin. I am glad that we were able to assist you with this matter. For any questions that you may have for UMNR's please contact 1-800-325-8847 as this is a dedicated line. Please tweet us, if you need us. Thank you. *ATJ",Praise_and_Feedback,Needs_Context_or_DM,False,"Hi there!  
Thank you for reaching out.  

For international unaccompanied minors (UMNR) traveling from Japan to MSP, Delta’s policy is a bit different from domestic flights:

| Service | Age Range | Minimum Age | Fee (per flight) | Notes |
|---------|-----------|-------------|------------------|-------|
| International UMNR | 5‑11 years | 5 years | $200 (USD) | Must be checked in with a parent/guardian. A dedicated flight attendant will accompany the child to the gate and onto the plane. |

**What to do next**

1. **Check the exact fee** – the $200 fee is the standard rate, but it can vary by route and season.  
2. **Book the UMNR service** – you can add it when you book the ticket or later via the “Manage Trips” section on our website.  
3. **Prepare the child** – bring a copy of the child’s passport, a signed release form, and any required medical documents.  
4. **Arrive early** – parents should arrive at least 45 minutes before departure to complete the check‑in process.

If you’d like a quick reference, here’s a link to our International Unaccompanied Minor policy:  
[Delta International UMNR Policy](https://www.delta.com/umnr)

Feel free to let us know if you need any more details or assistance with booking. Safe travels to your daughter!",2.0,1.0,3.0,4.0,3.0,3.0,"While factually correct, the response should be grounded to twitter friendliness, rather than a support chatbot found on websites. It would be better to redirect to a link instead of providing a detailed breakdown, however it is an acceptable response when customer convenience is priority."
14,@Delta Tailpipe fire SDF to ATL. Everything in airport closed. Can a girl get snacks/drinks from the plane? #FirstClass #Delay #Delta #Fire,"@317045 Hey, Karin. I'm sorry for the wait this evening to depart. Please share your confirmation number via DM.  *HDG",Baggage_and_Amenities,Baggage_and_Amenities,False,"Hi there! I’m sorry to hear about the delay caused by the tailpipe fire. We can definitely provide complimentary snacks and drinks for you on the flight. If you need anything else or have any special requests, just let us know. Thank you for flying with Delta, and we appreciate your patience as we work to get you to ATL safely.",5.0,3.0,3.0,4.0,3.0,3.0,"It is a fair response, however the agent should be aware that simply saying that the airlines provide complimentary snacks should be backed by policy, or at least should be pinged to a human agent."
15,"Hi.@Delta, I'm visiting soon &amp; would love to see the #SkyClub but not a member though- Atlanta, GA ( https://t.co/Zv492MZpcc",@197258 Good morning! You can purchase a single visit pass for $59.00. It's such a great experience in there! *TBW,Baggage_and_Amenities,Baggage_and_Amenities,False,"Hi there! 👋  
You’re welcome to visit the Atlanta Sky Club even if you’re not a member.  
You can purchase a one‑day pass at the club’s front desk or online through the Delta website.  
If you’re a Sky Miles member or have a qualifying credit card, you may also be eligible for complimentary access—just let the staff know when you arrive.  

Enjoy your visit, and let us know if there’s anything else we can help with!  

Safe travels,  
Delta Team 🌟",5.0,3.0,4.0,5.0,4.0,4.0,"Factually correct, and acceptable response given an actual agent would have the policies with it."
16,#Disability focused charity struggling to get essential supplies on flight to PR. Any @Delta Diamond folks out there who'd like to weigh in? https://t.co/dj88SLhZdk,"@294000 We appreciate your support to Puerto Rico. Actually, you must submit a request via email to __email__ for baggage... 1/4",Refunds_and_Complaints,Baggage_and_Amenities,False,"Hi there! We’re glad you’re reaching out. For relief supplies heading to Puerto Rico, Delta can help coordinate cargo shipments. Please use our **Delta Relief Assistance** portal (link in the help center) or contact the relief team directly for guidance. Also, note that flights to San Juan are limited to **three checked bags per ticketed passenger** to maximize cargo space for essential items. We’re here to support you—just let us know how we can help further!",3.0,2.0,3.0,4.0,3.0,3.0,"Useful information, however it is not grounded with Delta's historical replies. The agent may be overconfident without policies in hand."
17,@Delta always the best service !! https://t.co/mrvITj74TM,@574023 Awww. Look how cute! Thanks for sharing and for allowing us to be your ride in the sky! ✈ *TSL,Praise_and_Feedback,Praise_and_Feedback,False,@Delta Thanks for the love! We’re thrilled you enjoy our service. Safe travels! ✈️ *TMB,5.0,5.0,5.0,5.0,5.0,5.0,Good response to a praise.
18,"@Delta thanks, but I think rebooking is tolerable if I wasn't spending all night at an airport.
The frustrating part is that this is like the third time it's happened to me this year.",@413361 I can certainly understand your frustration. Please DM us your confirmation via this link.  *ALA https://t.co/6iDGBJAc2m,Refunds_and_Complaints,Refunds_and_Complaints,False,"Hi there! I’m really sorry to hear that this has happened again and that you’ve had to spend nights at the airport. We understand how frustrating that can be. If you’d like to rebook your flight, please use the link below to view and change your itinerary. If you need any further assistance, feel free to let us know.

[Rebook Your Flight](https://t.co/6iDGBJAc2m)

Thank you for your patience, and we hope to make your next travel experience smoother.",4.0,5.0,4.0,5.0,4.0,4.0,"Good reply, however it could be phrased better."
19,"Hey @Delta, you need to really thank the gate agents @18046 for working through the broken plane situation this morning.","@245367 Thanks, we're glad to know we're exceeding our expectations. *AJY",Praise_and_Feedback,Praise_and_Feedback,False,"Thank you for your kind words! We’ll be sure to pass along your appreciation to the gate agents for their hard work during the morning’s situation. If there’s anything else we can help with, just let us know. Safe travels!",5.0,5.0,5.0,5.0,5.0,5.0,Good reply to a praise.
20,@Delta how does my friend purchase a basic economy seat and get exit row seating when i purchased an economy ticket and got worse seating? #AreYouSerious?,"@622877 Hi Nick, basic economy seats are the seats that were left over. it so happened that exit row seats is what were left over. *TMC",Refunds_and_Complaints,Flight_Status_and_Upgrades,False,"Hi there!  
Basic‑Economy fares don’t include exit‑row seats or the ability to pre‑select any seat. If your friend wants an exit‑row seat, they’ll need to purchase a higher‑fare ticket (e.g., Main Cabin or a seat‑selection add‑on) that allows that option.  

You can review the seat‑selection policy here: https://www.delta.com/seat-selection  

Let me know if you’d like help finding the best fare for that seat or any other questions!",5.0,4.0,4.0,4.0,3.0,4.0,"Useful information, can accurately answer when given the real policies"
21,@Delta I'm really surprised you don't offer a direct flight between Portland and San Francisco. Any plans to add that route?,@321212 Thank you for your continued loyalty and have a great day. *HPF,Flight_Status_and_Upgrades,Flight_Status_and_Upgrades,False,"Hi! I’m sorry to hear that the current schedule doesn’t meet your needs. At the moment Delta doesn’t operate a nonstop flight between Portland (PDX) and San Francisco (SFO). We do offer convenient connecting options on the same day, and we’re always reviewing our route network to better serve our passengers. Thank you for sharing your feedback—please let us know if there’s anything else we can help with!",5.0,5.0,4.0,5.0,5.0,5.0,"Good response, and grounded in Delta's pattern."
22,"Who do you recommend flying with? 
@Delta @AmericanAir @SouthwestAir or @116450","@390094 Hello, Cheyenne. Your business means a lot to us. *AFM",Needs_Context_or_DM,Needs_Context_or_DM,False,"Hello! We’re happy to help you choose the best option for your travel. Many of our customers find Delta’s extensive network, reliable on‑time performance, and excellent in‑flight service to be a great fit. If you have any specific needs or preferences, just let us know and we’ll gladly help you compare options. *AFM",3.0,3.0,2.0,4.0,4.0,3.0,"Fair as a response, but not that beneficial to the question. The tweet is not related to support, so the Agent can sarcastically reply in favor of Delta Airlines instead of showing facts and adopting a neutral tone."
23,"@Delta well, ok then I guess that's that!",@206716 You’ve been a pleasure to tweet with. Have a wonderful day. *AFC,Needs_Context_or_DM,Needs_Context_or_DM,False,"@Delta Thanks for letting us know! If you have any other questions or need assistance in the future, just give us a shout. Have a great day! ✈️",4.0,5.0,4.0,5.0,5.0,5.0,"Would require more context, but okay as a response."
24,Luci at @Delta deserves all the awards for helping me get on a new flight so can make it home today. I'd be stranded 🙌🏼 #flightdelays,"@543037 Ashley, I am happy to hear about your experience with Luci. I will be glad to forward your comments on to her leadership team.  *TBW",Praise_and_Feedback,Praise_and_Feedback,False,"Hi there! 🌟 Thank you so much for the shout‑out—Luci is thrilled to hear she could help you get home safely. We’re always here to support you, so if there’s anything else you need, just let us know. Safe travels! 🚀",5.0,5.0,5.0,5.0,5.0,5.0,Good response.
25,"@Delta Thanks for the info, ALA. What are my other options to be upgraded? I appreciate your help!","@785220 At the moment, we still have Upgrade With Miles available on you flight. *AMV",Flight_Status_and_Upgrades,Flight_Status_and_Upgrades,False,"@Delta You’re very welcome! 🌟  
Here are a few ways you can upgrade your flight:  

1. **Delta Comfort+** – Upgrade to the extra leg‑room cabin for a small fee (subject to availability).  
2. **Miles & Cash** – Use a combination of SkyMiles and a cash payment to upgrade.  
3. **Miles‑Only Upgrade** – Redeem a full set of SkyMiles for a seat upgrade (availability varies).  
4. **Status‑Based Upgrade** – If you’re a Silver, Gold, Platinum, or Diamond member, you may receive complimentary upgrades on eligible flights.  

All upgrades are subject to seat availability, so it’s best to check your itinerary or call our reservations team for the latest options.  

Happy travels! ✈️",5.0,4.0,4.0,5.0,4.0,4.0,"Good response, it will be accurate when the agent has access to internal policies."
