text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason,pred_intent,pred_escalate,pred_reason,pred_reply,llm_judge_score,pipeline_status,pipeline_error,llm_judge_reasoning
@824 boarding my plane and bag still says it's on the previous flight...,@412785 Hi Brian. Your bag is loaded on to your next flight.  *TMS,Baggage_and_Amenities,True,Possible glitch or service abnormality which requires immediate review.,Baggage_and_Amenities,True,Baggage status issue requires case-specific investigation,,,,,
This is bs for a 12+ hr flight @Delta.  I'm 6'5 so thought I'd be in front row.  Ap is misleading. https://t.co/lyW6MPAYjf,"@635904 Hello, Colby. If you need any help, let us know.  *ARD",Refunds_and_Complaints,True,"Service complain regarding flight experience inconvenience, should be handled by a supervisor.",Refunds_and_Complaints,True,Booking-specific seat assignment issue requiring case investigation,,,,,
"@Delta Special thanks to the amazing flight crew for their leadership, and for letting us know we are all part of the @Delta family now.",@525536 You are very welcome. We are honored to have you aboard. Thanks for sharing. *TAC,Praise_and_Feedback,False,,Praise_and_Feedback,False,,@Delta Thank you for sharing your experience! We’re thrilled our crew could make you feel part of the Delta family. Your feedback means a lot to us. Safe travels! 🌟,5.0,,,
"Dear @Delta, without this country your company wouldn't exist. I expect a very public and sincere apology. Should be ashamed. https://t.co/maGBMsHsGE","@548479 ...Delta Honor Guard is one symbol of Delta’s pledge to the men and women of the armed forces, and it represents our broad... 2/4",Refunds_and_Complaints,True,"Frustrated customer complain regarding services, should be escalated to a human agent to look over.",Refunds_and_Complaints,True,Complaint requiring human response,,,,,
@Delta DL1287. The pilot has instructed us to deplane as they’re not sure where the smell is coming from. Any chance to put me on another flight?,"@261047 Yes, I'd be happy to help rebook you. Please DM your confirm #.  *TJW https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"Question regarding immediate flight status, should be handled effectively and correctly by a human agent.",Flight_Status_and_Upgrades,True,Booking-specific flight change request requiring agent intervention,,,,,
"Hi @delta the process of changing a flight online resulted in me turning my round trip ticket to Sydney into a one way 😭... fixed now.

VERY confusing design on your website. I could gladly help you fix it. #ux",@238350 I'm very sorry for the confusion in changing your flight online. Glad to hear you got it fixed. We are always here if you need further assistance.  *TJW,Praise_and_Feedback,False,,Praise_and_Feedback,False,,"Hi @delta, I’m sorry you ran into that issue while changing your flight online. Thank you for pointing out the confusing design—your feedback is valuable and will be shared with our UX team. If you need any further help or have more suggestions, we’re here for you. *TSE",5.0,,,
"@Delta Thank you. I had read the info and thought, “a video would certainly help this.” I’ll send my daughter from Japan to MSP next summer. I think the conditions are different for international UMNR.","@382840 Hi, Justin. I am glad that we were able to assist you with this matter. For any questions that you may have for UMNR's please contact 1-800-325-8847 as this is a dedicated line. Please tweet us, if you need us. Thank you. *ATJ",Praise_and_Feedback,False,,Needs_Context_or_DM,False,,"Hi there!  
Thank you for reaching out.  

For international unaccompanied minors (UMNR) traveling from Japan to MSP, Delta’s policy is a bit different from domestic flights:

| Service | Age Range | Minimum Age | Fee (per flight) | Notes |
|---------|-----------|-------------|------------------|-------|
| International UMNR | 5‑11 years | 5 years | $200 (USD) | Must be checked in with a parent/guardian. A dedicated flight attendant will accompany the child to the gate and onto the plane. |

**What to do next**

1. **Check the exact fee** – the $200 fee is the standard rate, but it can vary by route and season.  
2. **Book the UMNR service** – you can add it when you book the ticket or later via the “Manage Trips” section on our website.  
3. **Prepare the child** – bring a copy of the child’s passport, a signed release form, and any required medical documents.  
4. **Arrive early** – parents should arrive at least 45 minutes before departure to complete the check‑in process.

If you’d like a quick reference, here’s a link to our International Unaccompanied Minor policy:  
[Delta International UMNR Policy](https://www.delta.com/umnr)

Feel free to let us know if you need any more details or assistance with booking. Safe travels to your daughter!",2.0,,,
You need to provide them more space in the middle since my four flights I have seen 4 passengers hit by meal carts @delta @264816 https://t.co/E4s41J0DjM,@598330 We appreciate your feedback on this matter and will forward to Leadership. *AJY,Refunds_and_Complaints,True,"Inconvenience regarding several flight experiences, should be escalated to a human agent for review.",Refunds_and_Complaints,True,"Safety incident involving passengers, requires investigation",,,,,
@Delta It was two moody gate attendants.  We all have bad days.  I'm pretty sure my flight will be enjoyable.  Takeoff DL2040!,"@700583 Please do reach back out to us if any assistance is needed, William.  *HMB",Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated to supervisor for further review.",Refunds_and_Complaints,True,Complaint about gate attendants requiring investigation,,,,,
@Delta DL 5733 and I cannot miss my shuttle to my families house,"@285507 Can you please DM me your confirmation number, so I can further assist you? *TMC https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,Immediate update regarding the flight required. Best to escalate to a human agent.,Flight_Status_and_Upgrades,False,,"Hi there! 🌟  
I’m sorry to hear you’re worried about catching your shuttle. The best way to stay on track is to check the flight status and the shuttle schedule on the Delta app or our website. If you need any help or have questions about the shuttle timing, just let us know and we’ll do our best to assist you. Safe travels! ✈️",5.0,,,
@Delta Not any airport but like hypothetically do leave like from Saskatoon to New York,"@340602 Hi, Delta flights from Saskatoon to Minneapolis. *TMC",Needs_Context_or_DM,False,,Flight_Status_and_Upgrades,False,,"Hi there!  
Delta doesn’t currently operate a direct flight from Saskatoon to New York. You can still get there by connecting through one of our hub airports (e.g., Calgary, Toronto, or Minneapolis) or by flying with a Delta‑partner airline that serves Saskatoon and then connecting to a Delta flight.  

Feel free to check the Delta website or the “Partner Airlines” section for the best routing options. If you need help planning a trip, let us know and we’ll gladly point you in the right direction! ✈️",5.0,,,
I need a little assistance please @delta,"@683178 Hey Leo, how can I help? *TBT",Needs_Context_or_DM,True,"Detailed assistance required, best to assign a human agent.",Needs_Context_or_DM,False,,Good evening! How may we assist you today?,4.0,,,
@Delta @delta is the fare the same?,"@156661 Yes, I have availability and the same fare so the fee will only be $75 to change the ticket.  *TDH",Needs_Context_or_DM,False,,Needs_Context_or_DM,False,,"Hi there!  
Could you let me know which fare type or flight you’re referring to? That way I can confirm whether the fare is the same or if there are any differences. Thank you!",5.0,,,
"Filling up (at @Delta Sky Club in Atlanta, GA) https://t.co/Up0K3phBkU",@179390 Thank you for flying with us today! *ALS,Baggage_and_Amenities,False,,Baggage_and_Amenities,False,,Welcome! Hope you’re enjoying the club. Let us know if there’s anything we can do to make your visit even better. *HRO,5.0,,,
"@Delta , 35 minutes to an hour 2 minute wait just to talk to a human about a flight??  Second time in 2 weeks has been like this.  HORRIBLE customer service!!!!!!    #understaffed   #customerlast #deltaairlines",@757206 I am sorry to hear about the long wait times for our reservations team. Is there anything I can help you with via Twitter? *TBW,Refunds_and_Complaints,True,"Negative customer experience complain involving delays, should be escalated to a supervisor for review.",Refunds_and_Complaints,False,,"Hi there, @Delta here. I’m really sorry you’ve had to wait so long to speak with someone—this isn’t the experience we aim to provide. If you’d like help with a specific flight, you can DM us the details or use the live‑chat option on our website for a quicker response. We appreciate your patience and your feedback, and we’re working to improve our staffing so this doesn’t happen again. Thank you for flying with us.",5.0,,,
@Delta thank you,@160220 Have a good day. *TMS,Praise_and_Feedback,False,,Praise_and_Feedback,False,,"You’re very welcome! If there’s anything else we can help with, just let us know. 🌟",5.0,,,
@delta. Flight 6211 yyz standing at gate over 45 min Agent leaves gate empty with 50 people in line.  Gone for 20 min,@487170 Have a great flight. Thank you so much for flying Delta! *TAC,Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated for review.",Flight_Status_and_Upgrades,True,Flight delay and gate issue requires investigation.,,,,,
@delta my bags got loaded onto a flight to lax but im going to fll 🙈,@485241 Oh no! I am so sorry to hear this. Please follow/DM your confirmation number so I can check on this.  *HPL,Baggage_and_Amenities,True,Requires immediate assistance for baggage misplacing.,Baggage_and_Amenities,True,Case-specific baggage issue requiring investigation,,,,,
"@Delta you sent me weather waiver for 10.29, but when i go online it wont let me book a different flight","@436507 Hi, Ronny. Please DM your confirmation code, so we may be of assistance. Thanks.  *TMA https://t.co/6iDGBJAc2m",Needs_Context_or_DM,True,"Unable to book a different flight after providing a refund, should be escalated to a human agent for specialized support.",Flight_Status_and_Upgrades,True,Booking-specific issue requiring case investigation,,,,,
@Delta Monika at PIT D80 gate- thank you for gr8 customer service!,@326211 Thank you for sending in a compliment. I'm sure Monika will appreciate it. *ALS,Praise_and_Feedback,False,,Praise_and_Feedback,False,,"@Delta Thank you for the kind words, Monika! We’re thrilled you had a great experience at PIT D80. If there’s anything else we can do to help, just let us know. *AJZ",5.0,,,
@Delta stuck in SLC headed to SEA with flight 5 hours out 😢 What perks can my Delta @AskAmex card get me for a bump to an earlier flight?,"@302819 Hi, Del. Please follow/DM your confirmation # if you’re in need of rebooking assistance. Thanks. *AAB",Praise_and_Feedback,True,"Query about perks of a service, should be escalated to a human agent.",Flight_Status_and_Upgrades,False,,"Hi there! I’m sorry you’re stuck in SLC.  
With a Delta American Express card you’ll get a few perks that can help you get to your next flight faster:

* **Priority boarding** – you’ll board first, so you can get settled quickly.  
* **Delta Sky Club access** (if your card level includes it) – you can relax and grab a snack while you wait.  
* **Potential for complimentary upgrades** – on some flights, cardholders can receive a complimentary upgrade to Comfort+ or First Class if seats are available.

However, bumping to an earlier flight is still subject to seat availability and the fare rules of your ticket. If you’re looking to move to an earlier departure, the best next step is to check the Delta app or website for any available seats, or call our customer service team for assistance.  

Let me know if there’s anything else I can help with!",5.0,,,
@Delta plane had to land in Richmond due to weather - now 2.5 hours delayed. We're being held on runway - can you tell us anything? DL4037,"@382627 Sorry for the delay, Alexia. Looks like estimated to depart Richmond at 10:45 pm. arriving to Raleigh at 11:38 pm.  *TSE",Flight_Status_and_Upgrades,True,"Requires urgent update regarding flight status, should be handed over to an operator.",Flight_Status_and_Upgrades,True,Flight status lookup required,,,,,
"Digging the music as we board, @Delta. Nice touch. 👍🏻 (cc: @189623)",@116680 Thank you so much for reaching out to us and making your voice heard. We appreciate your feedback. Thanks for choosing to fly with us. ✈ *AMC,Praise_and_Feedback,False,,Praise_and_Feedback,False,,Hi! Glad you’re enjoying the music as we board. Thanks for flying Delta—hope you have a great flight! ✈️,5.0,,,
@Delta thank you for the Gold status.  Confused on 12 open seats in Premium plus and many frequent flyers sitting in the main cabin? #dl4114 https://t.co/6OA5GzZeqj,"@456535 Hi Joe, thanks for reaching out to us regarding this. Are you referring to Medallion members that weren't upgraded? *HKC",Praise_and_Feedback,False,,Flight_Status_and_Upgrades,False,,"Hi there! Thank you for your Gold status and for reaching out.  

Premium Plus seats are often available, but upgrades are awarded based on a combination of your status level, the current cabin load, and the specific flight’s upgrade policy. Even with open seats, some frequent‑flyer passengers may still be seated in the main cabin because of how the upgrade queue is managed or because they’ve chosen to stay in main cabin for other reasons.

If you’d like to confirm your upgrade eligibility for a particular flight, you can check the “My Trips” section in the Delta app or website. That will show you the most up‑to‑date status of your seat and any available upgrade options.

Let us know if there’s anything else we can help with! Safe travels.",5.0,,,
@Delta her misrepresentation of her ability assist me has me choosing to use another airline that doesn't give the hassle.,@444977 2/2 https://t.co/6iDGBJAc2m,Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated to a supervisor for review.",Refunds_and_Complaints,True,Customer complaint about service misrepresentation,,,,,
Haven’t flown @Delta in quite a while so just discovered the bag-tracking feature. Very cool! Well done!,"@601404 Thanks for the feedback, we are happy to hear you are enjoying the new updates on our Fly Delta App.  *AST",Praise_and_Feedback,False,,Praise_and_Feedback,False,,Thank you for the kind words! We’re thrilled you’re enjoying the bag‑tracking feature. Have a fantastic flight with us! ✈️,5.0,,,
I come to JAX to enjoy some great golf but of course @Delta loses my golf clubs! #worstairline #deltasucks,"@406935 Hi,Thomas, I'm so very sorry to hear this, we will get your clubs to you as soon as possible.  *TRR",Baggage_and_Amenities,True,Immediate assistance required from human agent due to missing baggage.,Baggage_and_Amenities,True,Case-specific baggage loss requires investigation.,,,,,
@Delta No assistance needed...just 👀a Porsche Cayenne with an @Delta sticker rolling on the tarmac in Detroit,"@642682 It's nice, right?  *ABN",Praise_and_Feedback,False,,Praise_and_Feedback,False,,Thanks for sharing! We use the Porsche Cayenne at select airports for a variety of services—just a quick glimpse of our fleet in action. Safe travels!,2.0,,,
"@Delta flight 0955 from LGA to DTW delayed going to miss connect flight DL 4445. Cant get thru 2 cust ser, how do I rebook connect flight","@588880 Hello, Bernadette. Very sorry to hear about your delay. We must do better. Follow/DM your confirm # for rebooking assistance.  *ARD",Flight_Status_and_Upgrades,True,"Requires assistance with flight booking and rescheduling, should be handled by a human agent.",Flight_Status_and_Upgrades,True,Booking-specific rebooking request,,,,,
"@Delta Nope, just snapping a pic to my millennial kid at altitude on your paid Wi-Fi. 🤔🤔",@325651 No problem. None of the decisive that I mentioned are in effect until OCT1st.  *TCC,Praise_and_Feedback,False,,Baggage_and_Amenities,False,,"Hi there—sorry you’re having trouble with our Wi‑Fi. If you paid for it and it wasn’t available, please contact GoGo at 1‑877‑350‑0038 to request a refund or credit. Thanks for letting us know, and we appreciate you flying with us.",5.0,,,
@Delta Is there no way of adding them now please? I like to be organised...How much will it be? One hold baggage per person is what we need.,@124029 The option is only available at the time of check in.   *HML,Baggage_and_Amenities,True,"Question regarding policy, should be accurately answered by a human agent.",Baggage_and_Amenities,False,,"Hi there!  
Yes, you can add a hold‑baggage allowance to your booking at any time.  
Just log in to your reservation on the Delta website or app, select **“Add Baggage,”** and choose one bag per passenger.  

Typical fees are $30 per bag for domestic flights and $35 per bag for international flights, but the exact amount can vary by route and weight. You can view the current rates here: https://www.delta.com/baggage.  

If you’d like help adding the bags or have any other questions, just let me know!",5.0,,,
@Delta Austin waitlist 881 but others around me are getting cleared by paying daily change fee. Not cool #platinumdoesntcount?,"@527791 Hi, Jennifer! Are you referring to the waitlist for First Class?  *HDG",Refunds_and_Complaints,True,"Customer inconvenience despite having higher tier subscription, should be looked over by a human agent.",Flight_Status_and_Upgrades,True,Booking-specific issue requiring investigation,,,,,
@Delta Our flight is delayed 😞,"@322093 Hi, Meghan. I'm so sorry to hear about this. Please DM your confirmation #, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,Requires immediate and accurate flight status update by a human agent.,Flight_Status_and_Upgrades,False,,"Hi there! We’re sorry to hear your flight is delayed. If you need help rebooking, accommodations, or have any questions, just let us know—we’re here to assist. Thank you for flying with Delta.",5.0,,,
"@Delta Thank you, doesn’t detract from amazing service though and great planes, we loved the inflight geography quiz, son beat us both 😂 xxx",@145929 Have a wonderful day.  *HRO,Praise_and_Feedback,False,,Praise_and_Feedback,False,,@Delta Thank you for the kind words! We’re thrilled you and your son enjoyed the geography quiz and our planes. Have a fantastic day! 😊 *TBT,4.0,,,
#Disability focused charity struggling to get essential supplies on flight to PR. Any @Delta Diamond folks out there who'd like to weigh in? https://t.co/dj88SLhZdk,"@294000 We appreciate your support to Puerto Rico. Actually, you must submit a request via email to __email__ for baggage... 1/4",Refunds_and_Complaints,True,"Flight inconvenience, should be escalated and handled by a human agent.",Baggage_and_Amenities,False,,"Hi there! We’re glad you’re reaching out. For relief supplies heading to Puerto Rico, Delta can help coordinate cargo shipments. Please use our **Delta Relief Assistance** portal (link in the help center) or contact the relief team directly for guidance. Also, note that flights to San Juan are limited to **three checked bags per ticketed passenger** to maximize cargo space for essential items. We’re here to support you—just let us know how we can help further!",3.0,,,
"@Delta trying to check in, says it cant validate ticket. Can you check what is wrong?","@490434 Hi, Jochem. Let me take a look.  *AMR",Baggage_and_Amenities,True,"Cannot check-in for flight process, requires support agents.",Flight_Status_and_Upgrades,True,Ticket validation requires booking-specific investigation,,,,,
"Boarded flight at 6:40 @ LAX. Deplaned at 9:20 still @ LAX, 4+ hr delay. Typical @Delta experience for me unfortunately. 0 for 3 in past yr.",@176270 Hello. Very sorry for the delay. We must do better. Follow/DM your confirm # for assistance.  *ARD,Praise_and_Feedback,True,"Negative customer feedback, requires attention of supervisors.",Refunds_and_Complaints,False,,"I’m really sorry you experienced such a long delay. If you’d like to review your flight details or explore rebooking options, please share your confirmation or ticket number via DM and I’ll help you right away. Thank you for flying with us.",3.0,,,
@235610 @Delta @4788 Had BOTH flights over thanksgiving with no wifi. Even got a notification to expect great upgraded wifi service on the flight back 🤷🏽‍♀️🙃,"@237323 Chelsea, I'm sorry about the Wi-Fi! Please, be sure to report the matter to our Wi-Fi partner Gogo at @116462 or 1.877.350.0038. They need to get details from you of any messages or details you got during your attempt. *AFM",Baggage_and_Amenities,True,"Customer did not get what service was promised, supervisor must look into it.",Baggage_and_Amenities,False,,"Hi there! I’m really sorry you didn’t get the upgraded Wi‑Fi you were expecting on both flights. I’ve forwarded your feedback to our Wi‑Fi team so we can look into what happened. Thank you for bringing this to our attention, and we appreciate your patience. If there’s anything else we can help with, just let us know! 😊 *AMC",5.0,,,
@Delta And to add insult to injury @Delta thanked me for reaching out to them. ?  3/3,@366952 Please know that your case is important to us and our *HML,Refunds_and_Complaints,True,"Complaint regarding flight experience, should be handed over to a human agent.",Refunds_and_Complaints,True,Complaint about response quality,,,,,
Beautiful sunset at JFK over a @Delta aircraft tonight https://t.co/amvXHDtQhE,@345350 Great shot! Thanks for sharing. *AMC,Praise_and_Feedback,False,,Praise_and_Feedback,False,,Beautiful! Thanks for sharing! *TSB,4.0,,,
"Hi @delta, your air attendant just made me check my bag at gate because no room on plane. But please see video below. Looks full2me. https://t.co/Fcl0zPkBOv",@304503 ...overhead bin space but avoids delayed flight departure. I'm sorry for your frustration regarding this process. *ALA 2/2,Refunds_and_Complaints,True,"Complaint regarding staff behavior, should be escalted up to a supervisor.",Baggage_and_Amenities,True,Incident requires investigation and potential compensation,,,,,
"@Delta You had better reach out to me, and soon. Will be Platinum this year, yet your flight leaves 10 minutes early without me, &amp; no agents","@386645 Gerard, I am very sorry to hear about this. Can you please DM your confirmation number so that I can see what alternate flights can... 1/2",Refunds_and_Complaints,True,"Negative customer feedback, missed their flight by 10 minutes, should escalate to a human agent.",Refunds_and_Complaints,True,Flight departure issue and lack of assistance requires investigation,,,,,
"@Delta Not the most awesome response, but it’s a response, I guess.","@176544 Hi Patti, I am very sorry to hear you did not receive good service on your flight DL1701. Please DM your confirm # along with some details of what happened. *TJW https://t.co/6iDGBJAc2m",Needs_Context_or_DM,True,"Redirect to a human agent review, since the customer needs an accurate and helpful assistance.",Praise_and_Feedback,True,"Customer dissatisfied with response, requires human review",,,,,
"@Delta you didn’t let me choose a seat at a base fair, stuck me in the back row with no window and no recline and no choice. HORRIBLE. #delta #deltafail #worstairline #flyjetblue","@721673 Listening to you and feeling your frustration with the way your seating arrangments went along the lines you've described. It's never our plan to create this disappointment. I will try to find your trip confirmation w/ your info, or please feel at ease to relay it to me if... 1/2",Praise_and_Feedback,False,,Refunds_and_Complaints,True,Booking-specific complaint,,,,,
@Delta There are seats on a direct flight at 5:34. Can you PLEASE help me move to that? This is a huge pain in the ass.,@196823 Hi Jennifer. The direct flight from JAX-JFK is sold out. *ALS,Flight_Status_and_Upgrades,True,"User requires assistance in shifting seats, should be escalated to human teams.",Flight_Status_and_Upgrades,True,Booking-specific seat change request requires human intervention,,,,,
"Another delay @Delta 
Thanks a lot.","@306863 Hi, Karen. I am so sorry to hear that. Pls, DM your confirmation number so that I can assist further. *TAY https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"Delay of customer's flight, escalate to a human agent to provide them with reasons for delay.",Flight_Status_and_Upgrades,False,,"Hi there! I’m sorry to hear you’re experiencing another delay. We’re working hard to get you on time and appreciate your patience. If there’s anything else we can do to help, just let us know. Safe travels!",5.0,,,
@Delta I have spent over 12 hours in the last 2 months on the phone with them and they have been close to useless. @delta bad reputation,@302645 I do apologize for the bag loss. I can give you the Baggage Service phone number to get someone in that department. 800-325-8224 *TMS,Praise_and_Feedback,True,"Multiple negative experiences from the customer, should require supervisor overview.",Refunds_and_Complaints,False,,"Hi there – I’m really sorry to hear how frustrating this has been for you. I understand how exhausting it can be to spend so much time on the phone without a resolution.  

To get the quickest help, you can reach out to our Baggage Service team for any lost‑or‑damaged items, or contact the Claims Manager for a claim that’s already in progress. If you’d like, I can forward your message to a supervisor who can review your case and ensure it gets the attention it deserves.  

Thank you for your patience, and please let me know how you’d like to proceed.",4.0,,,
Amazing #movie selection on @delta's #A333,"@509979 Hi, Pablo. We are delighted you enjoyed the movie selection.  Thanks for enjoying the Delta Experience.  *AJZ",Praise_and_Feedback,False,,Praise_and_Feedback,False,,Thanks for the shout‑out! We’re thrilled you enjoyed the movie lineup on our A333. Safe travels and see you again soon! ✈️,5.0,,,
@Delta help!!! We’re going to be late because they have to re-move the plane to align the gate. - https://t.co/M2StxmMuoG,@189770 Hi there. I sincerely apologize for the delay. Please follow/DM your confirmation code or ticket number to better assist. *TKR,Flight_Status_and_Upgrades,True,Requires immediate flight status update. Should be accurately handled by human teams.,Refunds_and_Complaints,False,,"Hi there! I’m really sorry for the inconvenience. The plane is currently being moved to align with the gate, and we’re working to get you on time. Please check the gate or the flight status on our website for the most up‑to‑date departure time. If you need any further assistance, just let me know! *HYC",5.0,,,
