text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason
@Delta thank you,@160220 Have a good day. *TMS,Praise_and_Feedback,False,
@delta. Flight 6211 yyz standing at gate over 45 min Agent leaves gate empty with 50 people in line.  Gone for 20 min,@487170 Have a great flight. Thank you so much for flying Delta! *TAC,Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated for review."
@delta my bags got loaded onto a flight to lax but im going to fll 🙈,@485241 Oh no! I am so sorry to hear this. Please follow/DM your confirmation number so I can check on this.  *HPL,Baggage_and_Amenities,True,Requires immediate assistance for baggage misplacing.
"@Delta you sent me weather waiver for 10.29, but when i go online it wont let me book a different flight","@436507 Hi, Ronny. Please DM your confirmation code, so we may be of assistance. Thanks.  *TMA https://t.co/6iDGBJAc2m",Needs_Context_or_DM,True,"Unable to book a different flight after providing a refund, should be escalated to a human agent for specialized support."
@Delta Monika at PIT D80 gate- thank you for gr8 customer service!,@326211 Thank you for sending in a compliment. I'm sure Monika will appreciate it. *ALS,Praise_and_Feedback,False,
@Delta stuck in SLC headed to SEA with flight 5 hours out 😢 What perks can my Delta @AskAmex card get me for a bump to an earlier flight?,"@302819 Hi, Del. Please follow/DM your confirmation # if you’re in need of rebooking assistance. Thanks. *AAB",Praise_and_Feedback,True,"Query about perks of a service, should be escalated to a human agent."
@Delta plane had to land in Richmond due to weather - now 2.5 hours delayed. We're being held on runway - can you tell us anything? DL4037,"@382627 Sorry for the delay, Alexia. Looks like estimated to depart Richmond at 10:45 pm. arriving to Raleigh at 11:38 pm.  *TSE",Flight_Status_and_Upgrades,True,"Requires urgent update regarding flight status, should be handed over to an operator."
"Digging the music as we board, @Delta. Nice touch. 👍🏻 (cc: @189623)",@116680 Thank you so much for reaching out to us and making your voice heard. We appreciate your feedback. Thanks for choosing to fly with us. ✈ *AMC,Praise_and_Feedback,False,
@Delta thank you for the Gold status.  Confused on 12 open seats in Premium plus and many frequent flyers sitting in the main cabin? #dl4114 https://t.co/6OA5GzZeqj,"@456535 Hi Joe, thanks for reaching out to us regarding this. Are you referring to Medallion members that weren't upgraded? *HKC",Praise_and_Feedback,False,
@Delta her misrepresentation of her ability assist me has me choosing to use another airline that doesn't give the hassle.,@444977 2/2 https://t.co/6iDGBJAc2m,Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated to a supervisor for review."
Haven’t flown @Delta in quite a while so just discovered the bag-tracking feature. Very cool! Well done!,"@601404 Thanks for the feedback, we are happy to hear you are enjoying the new updates on our Fly Delta App.  *AST",Praise_and_Feedback,False,
I come to JAX to enjoy some great golf but of course @Delta loses my golf clubs! #worstairline #deltasucks,"@406935 Hi,Thomas, I'm so very sorry to hear this, we will get your clubs to you as soon as possible.  *TRR",Baggage_and_Amenities,True,Immediate assistance required from human agent due to missing baggage.
@Delta No assistance needed...just 👀a Porsche Cayenne with an @Delta sticker rolling on the tarmac in Detroit,"@642682 It's nice, right?  *ABN",Praise_and_Feedback,False,
"@Delta flight 0955 from LGA to DTW delayed going to miss connect flight DL 4445. Cant get thru 2 cust ser, how do I rebook connect flight","@588880 Hello, Bernadette. Very sorry to hear about your delay. We must do better. Follow/DM your confirm # for rebooking assistance.  *ARD",Flight_Status_and_Upgrades,True,"Requires assistance with flight booking and rescheduling, should be handled by a human agent."
"@Delta Nope, just snapping a pic to my millennial kid at altitude on your paid Wi-Fi. 🤔🤔",@325651 No problem. None of the decisive that I mentioned are in effect until OCT1st.  *TCC,Praise_and_Feedback,False,
@Delta Is there no way of adding them now please? I like to be organised...How much will it be? One hold baggage per person is what we need.,@124029 The option is only available at the time of check in.   *HML,Baggage_and_Amenities,True,"Question regarding policy, should be accurately answered by a human agent."
@Delta Austin waitlist 881 but others around me are getting cleared by paying daily change fee. Not cool #platinumdoesntcount?,"@527791 Hi, Jennifer! Are you referring to the waitlist for First Class?  *HDG",Refunds_and_Complaints,True,"Customer inconvenience despite having higher tier subscription, should be looked over by a human agent."
@Delta Our flight is delayed 😞,"@322093 Hi, Meghan. I'm so sorry to hear about this. Please DM your confirmation #, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,Requires immediate and accurate flight status update by a human agent.
"@Delta Thank you, doesn’t detract from amazing service though and great planes, we loved the inflight geography quiz, son beat us both 😂 xxx",@145929 Have a wonderful day.  *HRO,Praise_and_Feedback,False,
#Disability focused charity struggling to get essential supplies on flight to PR. Any @Delta Diamond folks out there who'd like to weigh in? https://t.co/dj88SLhZdk,"@294000 We appreciate your support to Puerto Rico. Actually, you must submit a request via email to __email__ for baggage... 1/4",Refunds_and_Complaints,True,"Flight inconvenience, should be escalated and handled by a human agent."
"@Delta trying to check in, says it cant validate ticket. Can you check what is wrong?","@490434 Hi, Jochem. Let me take a look.  *AMR",Baggage_and_Amenities,True,"Cannot check-in for flight process, requires support agents."
"Boarded flight at 6:40 @ LAX. Deplaned at 9:20 still @ LAX, 4+ hr delay. Typical @Delta experience for me unfortunately. 0 for 3 in past yr.",@176270 Hello. Very sorry for the delay. We must do better. Follow/DM your confirm # for assistance.  *ARD,Praise_and_Feedback,True,"Negative customer feedback, requires attention of supervisors."
@235610 @Delta @4788 Had BOTH flights over thanksgiving with no wifi. Even got a notification to expect great upgraded wifi service on the flight back 🤷🏽‍♀️🙃,"@237323 Chelsea, I'm sorry about the Wi-Fi! Please, be sure to report the matter to our Wi-Fi partner Gogo at @116462 or 1.877.350.0038. They need to get details from you of any messages or details you got during your attempt. *AFM",Baggage_and_Amenities,True,"Customer did not get what service was promised, supervisor must look into it."
@Delta And to add insult to injury @Delta thanked me for reaching out to them. ?  3/3,@366952 Please know that your case is important to us and our *HML,Refunds_and_Complaints,True,"Complaint regarding flight experience, should be handed over to a human agent."
Beautiful sunset at JFK over a @Delta aircraft tonight https://t.co/amvXHDtQhE,@345350 Great shot! Thanks for sharing. *AMC,Praise_and_Feedback,False,
"Hi @delta, your air attendant just made me check my bag at gate because no room on plane. But please see video below. Looks full2me. https://t.co/Fcl0zPkBOv",@304503 ...overhead bin space but avoids delayed flight departure. I'm sorry for your frustration regarding this process. *ALA 2/2,Refunds_and_Complaints,True,"Complaint regarding staff behavior, should be escalted up to a supervisor."
"@Delta You had better reach out to me, and soon. Will be Platinum this year, yet your flight leaves 10 minutes early without me, &amp; no agents","@386645 Gerard, I am very sorry to hear about this. Can you please DM your confirmation number so that I can see what alternate flights can... 1/2",Refunds_and_Complaints,True,"Negative customer feedback, missed their flight by 10 minutes, should escalate to a human agent."
"@Delta Not the most awesome response, but it’s a response, I guess.","@176544 Hi Patti, I am very sorry to hear you did not receive good service on your flight DL1701. Please DM your confirm # along with some details of what happened. *TJW https://t.co/6iDGBJAc2m",Needs_Context_or_DM,True,"Redirect to a human agent review, since the customer needs an accurate and helpful assistance."
"@Delta you didn’t let me choose a seat at a base fair, stuck me in the back row with no window and no recline and no choice. HORRIBLE. #delta #deltafail #worstairline #flyjetblue","@721673 Listening to you and feeling your frustration with the way your seating arrangments went along the lines you've described. It's never our plan to create this disappointment. I will try to find your trip confirmation w/ your info, or please feel at ease to relay it to me if... 1/2",Praise_and_Feedback,False,
@Delta There are seats on a direct flight at 5:34. Can you PLEASE help me move to that? This is a huge pain in the ass.,@196823 Hi Jennifer. The direct flight from JAX-JFK is sold out. *ALS,Flight_Status_and_Upgrades,True,"User requires assistance in shifting seats, should be escalated to human teams."
"Another delay @Delta 
Thanks a lot.","@306863 Hi, Karen. I am so sorry to hear that. Pls, DM your confirmation number so that I can assist further. *TAY https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"Delay of customer's flight, escalate to a human agent to provide them with reasons for delay."
@Delta I have spent over 12 hours in the last 2 months on the phone with them and they have been close to useless. @delta bad reputation,@302645 I do apologize for the bag loss. I can give you the Baggage Service phone number to get someone in that department. 800-325-8224 *TMS,Praise_and_Feedback,True,"Multiple negative experiences from the customer, should require supervisor overview."
Amazing #movie selection on @delta's #A333,"@509979 Hi, Pablo. We are delighted you enjoyed the movie selection.  Thanks for enjoying the Delta Experience.  *AJZ",Praise_and_Feedback,False,
@Delta help!!! We’re going to be late because they have to re-move the plane to align the gate. - https://t.co/M2StxmMuoG,@189770 Hi there. I sincerely apologize for the delay. Please follow/DM your confirmation code or ticket number to better assist. *TKR,Flight_Status_and_Upgrades,True,Requires immediate flight status update. Should be accurately handled by human teams.
@Delta I'm really surprised you don't offer a direct flight between Portland and San Francisco. Any plans to add that route?,@321212 Thank you for your continued loyalty and have a great day. *HPF,Flight_Status_and_Upgrades,True,"Question regarding flight route policy, should be handled by relevant teams."
@Delta your companion pass search tool is THE WORST. Doesn't apply my pass even when I search from within the pass screen. Please fix.,"@655629 Hello, Angie! We appreciate your feedback. I will forward this information over for review. Thank you! *TCC",Refunds_and_Complaints,True,Complain regarding a search tool. Should be handled and fixed by human teams.
@Delta another awesome flight today ✈️👍🏻 received an upgrade and landed early. #myfavorite,"@418284 We love having you on board, Kristin. 😍 *ALA",Praise_and_Feedback,False,
"you should do food options for your veggie passengers, thank you @2960 @Delta @AmericanAir @116450 @120637","@414982 ...delta.com, or through Delta Reservations or an independent travel agent. Please, check the following link for more information:... 3/4",Praise_and_Feedback,False,
Shoutout to @Delta for the upgrade and stellar service this morning 👍. #KeepClimbing,"@655357 Hello, Eugene. Wow, great to hear this feedback! We thank you for choosing us! *ARD",Praise_and_Feedback,False,
@Delta flight crew on 1646 to CMH was top notch today 👏,"@135447 Hi, Courtney. Thank you for the shout out for the flight crew on DL1646 today! We appreciate you flying Delta. Have a good day.  *AJL",Praise_and_Feedback,False,
Thanks for selling me a “window” seat with no window @Delta.  Haven’t ever been less comfortable on a plane.,"@571274 Hi, Lisa, I'm very sorry to hear we disappointed you. Some of our aircrafts may not have an actual window at every seat.  *TRR",Refunds_and_Complaints,True,"Customer did not get a window seat despite paying for it, should be looked over by a human agent for handling."
Shout out to @Delta #2113 FAs and passengers for letting me deplane first. Made connection as the door closed. Thanks!,@249312 We are happy to hear that you made your connection!  *AFC,Praise_and_Feedback,False,
@DELTA How come everyone else I talked to on my cancelled flight got 9K points and I only received 7500??,"@424152 Hi, Jeff. I'm happy to look into this for you. Please DM your conf #, here, for assistance.  *TSL https://t.co/6iDGBJRMTU",Refunds_and_Complaints,True,"Question regarding cancelled flight refund, should be handled by relevant teams."
@Delta No it's not a problem!,"@158704 Phew, thanks for your understanding!  *AST",Needs_Context_or_DM,False,
@Delta Any chance the NYC wx waiver can be used to move a flight Monday morning to Sunday? Forecast suggests it'll still be nasty up here.,@232001 Hi Seth. Please follow/DM your confirmation code or tkt # to better assist. *TKR,Flight_Status_and_Upgrades,True,"Customer requires rescheduling of flight, should be handled by relevant teams."
@delta hi can I upgrade my seat via the app ?,@290405 ...800-221-1212.  *AJZ 2/2,Baggage_and_Amenities,False,
@Delta Thanks for taking care of us today Delta! You gave my grand boys their wings! https://t.co/98gzYc7MSw,@142974 You are very welcome. Thanks for choosing to fly with us. *AMC,Praise_and_Feedback,False,
"@Delta she asked her supervisor ""why does he need my name!"". Uhhh because you are a rude ******?? She needs serious training.",@443045 I will be sure to forward this tot the leadership team immediately.  *HPL,Refunds_and_Complaints,True,"Complain regarding staff misbehavior, should be escalated to supervisors."
"Everyone else is delayed, but I'm arriving early! Thank you to crew at JFK Terminal 4 gate B46 for getting me on a direct flight. @Delta https://t.co/1802BSW7C1",@335662 You're welcome Shannon! Glad they could help you! *TMS,Praise_and_Feedback,False,
@Delta  https://t.co/k4INoULYUw,@169770 Someone will contact you. Thank you for your patience and understanding.  *HCK,Needs_Context_or_DM,False,
@Delta Hope it’s transferable so I can send it to someone who will actually fly delta,"@773140 Collin, it is not transferable. *ACJ",Needs_Context_or_DM,True,"Requires context and assistance, should be redirected to human agents."
"@Delta hello guys. Could you please help me to make my check in?
 I’m in the flight # 2535 going to mex city. I cannot do it on the app","@417452 Hi, Alberto, unfortunately, we are unable to do check-in via this channel. I'm very sorry the app is not working and will forward... 1/3",Baggage_and_Amenities,True,"Requires assistance for flight check-in, and finds inconvenience on the app. Should be escalated to support teams."
@Delta All 3! I am thrilled! #onceeverythreeyearsphenomenon #thxdelta @delta https://t.co/TH5AhNFd6d,@416703 What a great way to start your morning! Enjoy the flight. 🚀 *TJF,Praise_and_Feedback,False,
@DELTA your app NEVER WORKS!!!!!!!!!!!,@123096 We will be sure to share your feedback with our Leadership Team. *AJC,Needs_Context_or_DM,True,"Complain regarding user experience, should be escalated to support teams."
@Delta I accidentally booked a fire exit seat when I should have booked a comfort seat instead. Is there a way I can switch it? Thanks,"@353642 For assistance, please follow/DM your confirmation number. *AMV https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"User requires seat switching, should be escalated to booking teams."
@Delta After all the horrible delays earlier in the year. Outrageous fees. Disappointing service. I think I will just status match w/ another comp.,@339923 We are a tweet away if you need us. *AFC,Praise_and_Feedback,True,"Negative user feedback based on multiple negative experiences, should be escalated to a human agent for review."
@Delta good morning i have a question regarding skymiles.,@744065 How can I help Connie? *ALS,Needs_Context_or_DM,True,"Redirect user to support channels, since they require assistance."
@Delta still NO ANSWER!,@213809 I do apologize for the delay. Just one moment.  *HSR,Needs_Context_or_DM,True,"User requires assistance regarding a query, and are waiting for a helpful response."
@Delta is the worst airline in the world! Moving someone's seats when they're travelling with a baby-without even telling us!,"@544254 I am sorry to hear that, Michael. Here is a link that better explains the rules traveling with children  https://t.co/6bFD4WFmCr *AFM",Refunds_and_Complaints,True,"Complain regarding mid-flight seat swapping, should be handled by relevant human teams."
@Delta Gladly,@312440 Great! We are here for you. *AMC,Needs_Context_or_DM,False,
"I'm at @Delta Air Lines Ticket Counter in Louisville, KY https://t.co/DY96wFFyQb","@287316 Curtis, thank you for your loyalty with us.  Enjoy your flight and let us know if you need anything.  *HYC",Needs_Context_or_DM,False,
Happy holidays from the busiest airport @Delta @122828 #flyhigh https://t.co/piEYWFhTdR,@276723 @251336 @274613 @116429 Lovely view! Thanks for sharing. ✈ *AST,Praise_and_Feedback,False,
@delta because of a mechanical issue my flights delayed and now my daughter will be stuck at daycare,@253718 Oh no! So sorry for the delay. Do you still need assistance with rebooking? *TJE,Flight_Status_and_Upgrades,True,"Requires information about flight delay immediately, should be handled by human agent for accuracy and transparency."
"@Delta Nope, but check that malicious spam domain and take it down please. https://t.co/iWa0Jg7Inn",@649277 We appreciate the feedback and we will look into this.  *ARD,Refunds_and_Complaints,True,"Complain regarding promo spams, should be handled by support agents as per policy."
@DELTA. Can I book a ticket on the delta app using sky miles?  What is the process?,"@559469 You certainly can. Just make sure that the option under ""Show price in"" has the selection of ""Miles"".  *ALA",Flight_Status_and_Upgrades,True,"Requires assistance in booking a ticket, human accuracy is needed."
"@Delta muchas gracias, me han tratado muy bien, y estoy muy agradecido con la atención y servicio prestado.","@205212 Hola, Juan! Muchas gracias por compartir tu experiencia con nosotros! Te lo agradecemos mucho! 😄 *HMB",Praise_and_Feedback,False,
"@Delta Will do so after I return to USA on Monday, 11/13/2007.","@478794 I apologize for the inconvenience, please reach out to us if you need any further assistance.  *TRR",Praise_and_Feedback,False,
Shoutout to the @Delta gate crew working flight 2154 JFK-PHX. Very informative and efficient. Great boarding of difficult 737. #keepclimbing,"@571204 Hi, Stephanie, wow! Thank you so much for the kudos, it makes me proud to hear the crew is taking great care of you. Have a great day! *TRR",Praise_and_Feedback,False,
"@Delta I'm so used to using @155550, I probably just didn't pay attention.  But now, I will definitely take advantage of knowing lol!","@307052 @155550 We look forward to seeing you onboard soon, and at SBN! *TBW",Praise_and_Feedback,False,
"Who do you recommend flying with? 
@Delta @AmericanAir @SouthwestAir or @116450","@390094 Hello, Cheyenne. Your business means a lot to us. *AFM",Needs_Context_or_DM,False,
"@655375 @133384 The good news Julie, is that you can still fly nonstop from OMA to @133384 on both @Delta and @SouthwestAir!","@300826 @655375 Hey, thanks Team @300826. 😄 Julie, we'd love to see you on a Delta flight real soon. ✈ Have a great weekend! ^HCH",Praise_and_Feedback,False,
First time on an airplane. Thanks @Delta for the wings! https://t.co/3Ej6PFCO4A,@334681 😍 Perfect! Thank you for sharing. Enjoy your flight.  *ATJ,Praise_and_Feedback,False,
".@Delta, why does DL 1097 smell like it's one big lavatory today?",@244958 Oh no' that's not good to hear. I will report the odor to our cabin maintenance crew. My apology for any inconvenience. *ALS,Refunds_and_Complaints,True,"Suspicious smell reported by the customer, should be escalated to human reviewer for explanation."
@Delta Tailpipe fire SDF to ATL. Everything in airport closed. Can a girl get snacks/drinks from the plane? #FirstClass #Delay #Delta #Fire,"@317045 Hey, Karin. I'm sorry for the wait this evening to depart. Please share your confirmation number via DM.  *HDG",Baggage_and_Amenities,False,
"Hey @Delta! This is pretty shitty after I've already filled out all your forms, chosen seats, entered payment, and hit 'COMPLETE PURCHASE'! https://t.co/H5DCAHfJyO","@608321 Hello, Nick. My apologies for the inconvenience. Fare prices are constantly changing as other customers are also shopping.  *HDG",Refunds_and_Complaints,True,"Negative user complain regarding user experience, should be escalated for accurate assistance."
Thanks @Delta for making sure my flight to Florida is stupid hot...maybe fix things with all that money I spend on tickets https://t.co/b4DycneVwG,"@537089 Hi, Dustin, I'm sorry for the inconvenience. Please provide the flight # for this flight and your confirm # *TJH https://t.co/6iDGBJAc2m",Refunds_and_Complaints,True,"Negative complain regarding user experience, should be reviewed by a human agent."
@Delta need more forethought I BZN when it snows. Should not have to wait for maint to get out of bed to clear ice from engine. Missed conn,@232799 My apologies for the delay of DL 730 due to weather of de-icing. Please let me know if you need re-booking. Thank you.  *HRO,Praise_and_Feedback,True,"User should receive transparent reason for delay, handled by human agent."
@Delta If you're going to go...go Delta!,@122808 Hi John. What is going on? *AMR,Praise_and_Feedback,False,
"@Delta well, ok then I guess that's that!",@206716 You’ve been a pleasure to tweet with. Have a wonderful day. *AFC,Needs_Context_or_DM,False,
"@Delta you’re doing amazing, sweetie https://t.co/6Q0XlUqVtN",@623177 Thank you for the shout out! *ALY,Praise_and_Feedback,False,
@DELTA 2 flights today no snacks no juice I’m appalled !!!,@363630 Sorry to hear that. Did you reach out to one of our attendants regarding this? *ALA,Praise_and_Feedback,True,"Customer expresses disappointment over not being given complimentary food, should be looked over by a human agent."
Thank you for the information @Delta https://t.co/FMA6ZwwiPa,@371457 You are welcome. Thank you for choosing Delta. *TMC,Praise_and_Feedback,False,
"Wow @Delta, I guess being a loyal diamond medallion means nothing. Looks like failure is an option. #disappointed",@659998 Good morning to you. Please let me know how we can help.  *HSD,Needs_Context_or_DM,True,"User requires assistance regarding a negative experience, should be accurately handled by a human agent."
"@Delta Sure, that would be appreciated.","@700573 I just emailed the voucher to your email, it is also under your wallet on your Delta SkyMiles Account.  *TBT",Needs_Context_or_DM,False,
@Delta Whomever was at the Sky Priority desk this morning: he'd get a 1 - definitely would not hire that fella,"@217441 Thanks for your feedback, John. Do you have the agent's name? If so, please share it through DM. *HSL https://t.co/6iDGBJAc2m",Praise_and_Feedback,True,"Negative feedback regarding staff behavior, should be escalated to human agents."
@Delta @120943  Why do I pay for TSApre when it’s not available at ATL international terminal? Ridiculous! #waitinginline,@599038 Thank you for asking. Check this link https://t.co/D8vsggWVHA *TDL,Refunds_and_Complaints,True,"Complain regarding service policies, should be handled accurately by a human agent."
@Delta Thank you. I hope so too. Start of our honeymoon.,@694955 😍 congratulations! Thank you for flying with us. *ATJ,Praise_and_Feedback,False,
@delta 2602 update: finally landed. Of the 100s of 1000s of miles ive flown this was comfortably the worst experience I’ve ever had,@402101 Pls give me just a moment to look at your booking. *HKM,Praise_and_Feedback,True,"Negative feedback, human agent should look into resolving the issue."
@Delta please refer to case # 00337677 for previously sent complaint,@457234 Hello Dan. My sincere apologies for your inconvenience. Case numbers are assigned and processed by the Delta Corporate Customer Care  *HAN,Refunds_and_Complaints,True,"Customer needs assistance with previously filed complaint, should be handled by human agent."
"After flying 1 million #miles on legacy airlines - @Delta takes the prize!
#forwardthinking
#innovativeproducts
#customerservice
#airline","@391524 Hello, Dennis. Thank you for choosing Delta.  *AFM",Praise_and_Feedback,False,
"@Delta we are looking to book a large family, if we go basic economy is it reasonable to assume at least the children will be seated with an adult in our party not by themselves?","@261643 However, the seat selection is not guaranteed. We accommodate the seating for children 5 years and under.  *AFC",Baggage_and_Amenities,True,"Query regarding flight booking, should be accurately answered by human agent."
