text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason
"Dear @Delta, without this country your company wouldn't exist. I expect a very public and sincere apology. Should be ashamed. https://t.co/maGBMsHsGE","@548479 ...Delta Honor Guard is one symbol of Delta’s pledge to the men and women of the armed forces, and it represents our broad... 2/4",,,
@Delta DL1287. The pilot has instructed us to deplane as they’re not sure where the smell is coming from. Any chance to put me on another flight?,"@261047 Yes, I'd be happy to help rebook you. Please DM your confirm #.  *TJW https://t.co/6iDGBJAc2m",,,
"Hi @delta the process of changing a flight online resulted in me turning my round trip ticket to Sydney into a one way 😭... fixed now.

VERY confusing design on your website. I could gladly help you fix it. #ux",@238350 I'm very sorry for the confusion in changing your flight online. Glad to hear you got it fixed. We are always here if you need further assistance.  *TJW,,,
"@Delta Thank you. I had read the info and thought, “a video would certainly help this.” I’ll send my daughter from Japan to MSP next summer. I think the conditions are different for international UMNR.","@382840 Hi, Justin. I am glad that we were able to assist you with this matter. For any questions that you may have for UMNR's please contact 1-800-325-8847 as this is a dedicated line. Please tweet us, if you need us. Thank you. *ATJ",,,
You need to provide them more space in the middle since my four flights I have seen 4 passengers hit by meal carts @delta @264816 https://t.co/E4s41J0DjM,@598330 We appreciate your feedback on this matter and will forward to Leadership. *AJY,,,
@Delta It was two moody gate attendants.  We all have bad days.  I'm pretty sure my flight will be enjoyable.  Takeoff DL2040!,"@700583 Please do reach back out to us if any assistance is needed, William.  *HMB",,,
@Delta DL 5733 and I cannot miss my shuttle to my families house,"@285507 Can you please DM me your confirmation number, so I can further assist you? *TMC https://t.co/6iDGBJAc2m",,,
@Delta Not any airport but like hypothetically do leave like from Saskatoon to New York,"@340602 Hi, Delta flights from Saskatoon to Minneapolis. *TMC",,,
I need a little assistance please @delta,"@683178 Hey Leo, how can I help? *TBT",,,
@Delta @delta is the fare the same?,"@156661 Yes, I have availability and the same fare so the fee will only be $75 to change the ticket.  *TDH",,,
"Filling up (at @Delta Sky Club in Atlanta, GA) https://t.co/Up0K3phBkU",@179390 Thank you for flying with us today! *ALS,,,
"@Delta , 35 minutes to an hour 2 minute wait just to talk to a human about a flight??  Second time in 2 weeks has been like this.  HORRIBLE customer service!!!!!!    #understaffed   #customerlast #deltaairlines",@757206 I am sorry to hear about the long wait times for our reservations team. Is there anything I can help you with via Twitter? *TBW,,,
@Delta thank you,@160220 Have a good day. *TMS,,,
@delta. Flight 6211 yyz standing at gate over 45 min Agent leaves gate empty with 50 people in line.  Gone for 20 min,@487170 Have a great flight. Thank you so much for flying Delta! *TAC,,,
@delta my bags got loaded onto a flight to lax but im going to fll 🙈,@485241 Oh no! I am so sorry to hear this. Please follow/DM your confirmation number so I can check on this.  *HPL,,,
"@Delta you sent me weather waiver for 10.29, but when i go online it wont let me book a different flight","@436507 Hi, Ronny. Please DM your confirmation code, so we may be of assistance. Thanks.  *TMA https://t.co/6iDGBJAc2m",,,
@Delta Monika at PIT D80 gate- thank you for gr8 customer service!,@326211 Thank you for sending in a compliment. I'm sure Monika will appreciate it. *ALS,,,
@Delta stuck in SLC headed to SEA with flight 5 hours out 😢 What perks can my Delta @AskAmex card get me for a bump to an earlier flight?,"@302819 Hi, Del. Please follow/DM your confirmation # if you’re in need of rebooking assistance. Thanks. *AAB",,,
@Delta plane had to land in Richmond due to weather - now 2.5 hours delayed. We're being held on runway - can you tell us anything? DL4037,"@382627 Sorry for the delay, Alexia. Looks like estimated to depart Richmond at 10:45 pm. arriving to Raleigh at 11:38 pm.  *TSE",,,
"Digging the music as we board, @Delta. Nice touch. 👍🏻 (cc: @189623)",@116680 Thank you so much for reaching out to us and making your voice heard. We appreciate your feedback. Thanks for choosing to fly with us. ✈ *AMC,,,
@Delta thank you for the Gold status.  Confused on 12 open seats in Premium plus and many frequent flyers sitting in the main cabin? #dl4114 https://t.co/6OA5GzZeqj,"@456535 Hi Joe, thanks for reaching out to us regarding this. Are you referring to Medallion members that weren't upgraded? *HKC",,,
@Delta her misrepresentation of her ability assist me has me choosing to use another airline that doesn't give the hassle.,@444977 2/2 https://t.co/6iDGBJAc2m,,,
Haven’t flown @Delta in quite a while so just discovered the bag-tracking feature. Very cool! Well done!,"@601404 Thanks for the feedback, we are happy to hear you are enjoying the new updates on our Fly Delta App.  *AST",,,
I come to JAX to enjoy some great golf but of course @Delta loses my golf clubs! #worstairline #deltasucks,"@406935 Hi,Thomas, I'm so very sorry to hear this, we will get your clubs to you as soon as possible.  *TRR",,,
@Delta No assistance needed...just 👀a Porsche Cayenne with an @Delta sticker rolling on the tarmac in Detroit,"@642682 It's nice, right?  *ABN",,,
"@Delta flight 0955 from LGA to DTW delayed going to miss connect flight DL 4445. Cant get thru 2 cust ser, how do I rebook connect flight","@588880 Hello, Bernadette. Very sorry to hear about your delay. We must do better. Follow/DM your confirm # for rebooking assistance.  *ARD",,,
"@Delta Nope, just snapping a pic to my millennial kid at altitude on your paid Wi-Fi. 🤔🤔",@325651 No problem. None of the decisive that I mentioned are in effect until OCT1st.  *TCC,,,
@Delta Is there no way of adding them now please? I like to be organised...How much will it be? One hold baggage per person is what we need.,@124029 The option is only available at the time of check in.   *HML,,,
@Delta Austin waitlist 881 but others around me are getting cleared by paying daily change fee. Not cool #platinumdoesntcount?,"@527791 Hi, Jennifer! Are you referring to the waitlist for First Class?  *HDG",,,
@Delta Our flight is delayed 😞,"@322093 Hi, Meghan. I'm so sorry to hear about this. Please DM your confirmation #, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",,,
"@Delta Thank you, doesn’t detract from amazing service though and great planes, we loved the inflight geography quiz, son beat us both 😂 xxx",@145929 Have a wonderful day.  *HRO,,,
#Disability focused charity struggling to get essential supplies on flight to PR. Any @Delta Diamond folks out there who'd like to weigh in? https://t.co/dj88SLhZdk,"@294000 We appreciate your support to Puerto Rico. Actually, you must submit a request via email to __email__ for baggage... 1/4",,,
"@Delta trying to check in, says it cant validate ticket. Can you check what is wrong?","@490434 Hi, Jochem. Let me take a look.  *AMR",,,
"Boarded flight at 6:40 @ LAX. Deplaned at 9:20 still @ LAX, 4+ hr delay. Typical @Delta experience for me unfortunately. 0 for 3 in past yr.",@176270 Hello. Very sorry for the delay. We must do better. Follow/DM your confirm # for assistance.  *ARD,,,
@235610 @Delta @4788 Had BOTH flights over thanksgiving with no wifi. Even got a notification to expect great upgraded wifi service on the flight back 🤷🏽‍♀️🙃,"@237323 Chelsea, I'm sorry about the Wi-Fi! Please, be sure to report the matter to our Wi-Fi partner Gogo at @116462 or 1.877.350.0038. They need to get details from you of any messages or details you got during your attempt. *AFM",,,
@Delta And to add insult to injury @Delta thanked me for reaching out to them. ?  3/3,@366952 Please know that your case is important to us and our *HML,,,
Beautiful sunset at JFK over a @Delta aircraft tonight https://t.co/amvXHDtQhE,@345350 Great shot! Thanks for sharing. *AMC,,,
"Hi @delta, your air attendant just made me check my bag at gate because no room on plane. But please see video below. Looks full2me. https://t.co/Fcl0zPkBOv",@304503 ...overhead bin space but avoids delayed flight departure. I'm sorry for your frustration regarding this process. *ALA 2/2,,,
"@Delta You had better reach out to me, and soon. Will be Platinum this year, yet your flight leaves 10 minutes early without me, &amp; no agents","@386645 Gerard, I am very sorry to hear about this. Can you please DM your confirmation number so that I can see what alternate flights can... 1/2",,,
"@Delta Not the most awesome response, but it’s a response, I guess.","@176544 Hi Patti, I am very sorry to hear you did not receive good service on your flight DL1701. Please DM your confirm # along with some details of what happened. *TJW https://t.co/6iDGBJAc2m",,,
"@Delta you didn’t let me choose a seat at a base fair, stuck me in the back row with no window and no recline and no choice. HORRIBLE. #delta #deltafail #worstairline #flyjetblue","@721673 Listening to you and feeling your frustration with the way your seating arrangments went along the lines you've described. It's never our plan to create this disappointment. I will try to find your trip confirmation w/ your info, or please feel at ease to relay it to me if... 1/2",,,
@Delta There are seats on a direct flight at 5:34. Can you PLEASE help me move to that? This is a huge pain in the ass.,@196823 Hi Jennifer. The direct flight from JAX-JFK is sold out. *ALS,,,
"Another delay @Delta 
Thanks a lot.","@306863 Hi, Karen. I am so sorry to hear that. Pls, DM your confirmation number so that I can assist further. *TAY https://t.co/6iDGBJAc2m",,,
@Delta I have spent over 12 hours in the last 2 months on the phone with them and they have been close to useless. @delta bad reputation,@302645 I do apologize for the bag loss. I can give you the Baggage Service phone number to get someone in that department. 800-325-8224 *TMS,,,
Amazing #movie selection on @delta's #A333,"@509979 Hi, Pablo. We are delighted you enjoyed the movie selection.  Thanks for enjoying the Delta Experience.  *AJZ",,,
@Delta help!!! We’re going to be late because they have to re-move the plane to align the gate. - https://t.co/M2StxmMuoG,@189770 Hi there. I sincerely apologize for the delay. Please follow/DM your confirmation code or ticket number to better assist. *TKR,,,
@Delta I'm really surprised you don't offer a direct flight between Portland and San Francisco. Any plans to add that route?,@321212 Thank you for your continued loyalty and have a great day. *HPF,,,
@Delta your companion pass search tool is THE WORST. Doesn't apply my pass even when I search from within the pass screen. Please fix.,"@655629 Hello, Angie! We appreciate your feedback. I will forward this information over for review. Thank you! *TCC",,,
@Delta another awesome flight today ✈️👍🏻 received an upgrade and landed early. #myfavorite,"@418284 We love having you on board, Kristin. 😍 *ALA",,,
"you should do food options for your veggie passengers, thank you @2960 @Delta @AmericanAir @116450 @120637","@414982 ...delta.com, or through Delta Reservations or an independent travel agent. Please, check the following link for more information:... 3/4",,,
Shoutout to @Delta for the upgrade and stellar service this morning 👍. #KeepClimbing,"@655357 Hello, Eugene. Wow, great to hear this feedback! We thank you for choosing us! *ARD",,,
@Delta flight crew on 1646 to CMH was top notch today 👏,"@135447 Hi, Courtney. Thank you for the shout out for the flight crew on DL1646 today! We appreciate you flying Delta. Have a good day.  *AJL",,,
Thanks for selling me a “window” seat with no window @Delta.  Haven’t ever been less comfortable on a plane.,"@571274 Hi, Lisa, I'm very sorry to hear we disappointed you. Some of our aircrafts may not have an actual window at every seat.  *TRR",,,
Shout out to @Delta #2113 FAs and passengers for letting me deplane first. Made connection as the door closed. Thanks!,@249312 We are happy to hear that you made your connection!  *AFC,,,
@DELTA How come everyone else I talked to on my cancelled flight got 9K points and I only received 7500??,"@424152 Hi, Jeff. I'm happy to look into this for you. Please DM your conf #, here, for assistance.  *TSL https://t.co/6iDGBJRMTU",,,
@Delta No it's not a problem!,"@158704 Phew, thanks for your understanding!  *AST",,,
@Delta Any chance the NYC wx waiver can be used to move a flight Monday morning to Sunday? Forecast suggests it'll still be nasty up here.,@232001 Hi Seth. Please follow/DM your confirmation code or tkt # to better assist. *TKR,,,
@delta hi can I upgrade my seat via the app ?,@290405 ...800-221-1212.  *AJZ 2/2,,,
@Delta Thanks for taking care of us today Delta! You gave my grand boys their wings! https://t.co/98gzYc7MSw,@142974 You are very welcome. Thanks for choosing to fly with us. *AMC,,,
"@Delta she asked her supervisor ""why does he need my name!"". Uhhh because you are a rude ******?? She needs serious training.",@443045 I will be sure to forward this tot the leadership team immediately.  *HPL,,,
"Everyone else is delayed, but I'm arriving early! Thank you to crew at JFK Terminal 4 gate B46 for getting me on a direct flight. @Delta https://t.co/1802BSW7C1",@335662 You're welcome Shannon! Glad they could help you! *TMS,,,
@Delta  https://t.co/k4INoULYUw,@169770 Someone will contact you. Thank you for your patience and understanding.  *HCK,,,
@Delta Hope it’s transferable so I can send it to someone who will actually fly delta,"@773140 Collin, it is not transferable. *ACJ",,,
"@Delta hello guys. Could you please help me to make my check in?
 I’m in the flight # 2535 going to mex city. I cannot do it on the app","@417452 Hi, Alberto, unfortunately, we are unable to do check-in via this channel. I'm very sorry the app is not working and will forward... 1/3",,,
@Delta All 3! I am thrilled! #onceeverythreeyearsphenomenon #thxdelta @delta https://t.co/TH5AhNFd6d,@416703 What a great way to start your morning! Enjoy the flight. 🚀 *TJF,,,
@DELTA your app NEVER WORKS!!!!!!!!!!!,@123096 We will be sure to share your feedback with our Leadership Team. *AJC,,,
@Delta I accidentally booked a fire exit seat when I should have booked a comfort seat instead. Is there a way I can switch it? Thanks,"@353642 For assistance, please follow/DM your confirmation number. *AMV https://t.co/6iDGBJAc2m",,,
@Delta After all the horrible delays earlier in the year. Outrageous fees. Disappointing service. I think I will just status match w/ another comp.,@339923 We are a tweet away if you need us. *AFC,,,
@Delta good morning i have a question regarding skymiles.,@744065 How can I help Connie? *ALS,,,
@Delta still NO ANSWER!,@213809 I do apologize for the delay. Just one moment.  *HSR,,,
@Delta is the worst airline in the world! Moving someone's seats when they're travelling with a baby-without even telling us!,"@544254 I am sorry to hear that, Michael. Here is a link that better explains the rules traveling with children  https://t.co/6bFD4WFmCr *AFM",,,
@Delta Gladly,@312440 Great! We are here for you. *AMC,,,
"I'm at @Delta Air Lines Ticket Counter in Louisville, KY https://t.co/DY96wFFyQb","@287316 Curtis, thank you for your loyalty with us.  Enjoy your flight and let us know if you need anything.  *HYC",,,
Happy holidays from the busiest airport @Delta @122828 #flyhigh https://t.co/piEYWFhTdR,@276723 @251336 @274613 @116429 Lovely view! Thanks for sharing. ✈ *AST,,,
@delta because of a mechanical issue my flights delayed and now my daughter will be stuck at daycare,@253718 Oh no! So sorry for the delay. Do you still need assistance with rebooking? *TJE,,,
"@Delta Nope, but check that malicious spam domain and take it down please. https://t.co/iWa0Jg7Inn",@649277 We appreciate the feedback and we will look into this.  *ARD,,,
@DELTA. Can I book a ticket on the delta app using sky miles?  What is the process?,"@559469 You certainly can. Just make sure that the option under ""Show price in"" has the selection of ""Miles"".  *ALA",,,
"@Delta muchas gracias, me han tratado muy bien, y estoy muy agradecido con la atención y servicio prestado.","@205212 Hola, Juan! Muchas gracias por compartir tu experiencia con nosotros! Te lo agradecemos mucho! 😄 *HMB",,,
"@Delta Will do so after I return to USA on Monday, 11/13/2007.","@478794 I apologize for the inconvenience, please reach out to us if you need any further assistance.  *TRR",,,
Shoutout to the @Delta gate crew working flight 2154 JFK-PHX. Very informative and efficient. Great boarding of difficult 737. #keepclimbing,"@571204 Hi, Stephanie, wow! Thank you so much for the kudos, it makes me proud to hear the crew is taking great care of you. Have a great day! *TRR",,,
"@Delta I'm so used to using @155550, I probably just didn't pay attention.  But now, I will definitely take advantage of knowing lol!","@307052 @155550 We look forward to seeing you onboard soon, and at SBN! *TBW",,,
"Who do you recommend flying with? 
@Delta @AmericanAir @SouthwestAir or @116450","@390094 Hello, Cheyenne. Your business means a lot to us. *AFM",,,
"@655375 @133384 The good news Julie, is that you can still fly nonstop from OMA to @133384 on both @Delta and @SouthwestAir!","@300826 @655375 Hey, thanks Team @300826. 😄 Julie, we'd love to see you on a Delta flight real soon. ✈ Have a great weekend! ^HCH",,,
First time on an airplane. Thanks @Delta for the wings! https://t.co/3Ej6PFCO4A,@334681 😍 Perfect! Thank you for sharing. Enjoy your flight.  *ATJ,,,
".@Delta, why does DL 1097 smell like it's one big lavatory today?",@244958 Oh no' that's not good to hear. I will report the odor to our cabin maintenance crew. My apology for any inconvenience. *ALS,,,
@Delta Tailpipe fire SDF to ATL. Everything in airport closed. Can a girl get snacks/drinks from the plane? #FirstClass #Delay #Delta #Fire,"@317045 Hey, Karin. I'm sorry for the wait this evening to depart. Please share your confirmation number via DM.  *HDG",,,
"Hey @Delta! This is pretty shitty after I've already filled out all your forms, chosen seats, entered payment, and hit 'COMPLETE PURCHASE'! https://t.co/H5DCAHfJyO","@608321 Hello, Nick. My apologies for the inconvenience. Fare prices are constantly changing as other customers are also shopping.  *HDG",,,
Thanks @Delta for making sure my flight to Florida is stupid hot...maybe fix things with all that money I spend on tickets https://t.co/b4DycneVwG,"@537089 Hi, Dustin, I'm sorry for the inconvenience. Please provide the flight # for this flight and your confirm # *TJH https://t.co/6iDGBJAc2m",,,
@Delta need more forethought I BZN when it snows. Should not have to wait for maint to get out of bed to clear ice from engine. Missed conn,@232799 My apologies for the delay of DL 730 due to weather of de-icing. Please let me know if you need re-booking. Thank you.  *HRO,,,
@Delta If you're going to go...go Delta!,@122808 Hi John. What is going on? *AMR,,,
"@Delta well, ok then I guess that's that!",@206716 You’ve been a pleasure to tweet with. Have a wonderful day. *AFC,,,
"@Delta you’re doing amazing, sweetie https://t.co/6Q0XlUqVtN",@623177 Thank you for the shout out! *ALY,,,
@DELTA 2 flights today no snacks no juice I’m appalled !!!,@363630 Sorry to hear that. Did you reach out to one of our attendants regarding this? *ALA,,,
Thank you for the information @Delta https://t.co/FMA6ZwwiPa,@371457 You are welcome. Thank you for choosing Delta. *TMC,,,
"Wow @Delta, I guess being a loyal diamond medallion means nothing. Looks like failure is an option. #disappointed",@659998 Good morning to you. Please let me know how we can help.  *HSD,,,
"@Delta Sure, that would be appreciated.","@700573 I just emailed the voucher to your email, it is also under your wallet on your Delta SkyMiles Account.  *TBT",,,
@Delta Whomever was at the Sky Priority desk this morning: he'd get a 1 - definitely would not hire that fella,"@217441 Thanks for your feedback, John. Do you have the agent's name? If so, please share it through DM. *HSL https://t.co/6iDGBJAc2m",,,
@Delta @120943  Why do I pay for TSApre when it’s not available at ATL international terminal? Ridiculous! #waitinginline,@599038 Thank you for asking. Check this link https://t.co/D8vsggWVHA *TDL,,,
@Delta Thank you. I hope so too. Start of our honeymoon.,@694955 😍 congratulations! Thank you for flying with us. *ATJ,,,
@delta 2602 update: finally landed. Of the 100s of 1000s of miles ive flown this was comfortably the worst experience I’ve ever had,@402101 Pls give me just a moment to look at your booking. *HKM,,,
@Delta please refer to case # 00337677 for previously sent complaint,@457234 Hello Dan. My sincere apologies for your inconvenience. Case numbers are assigned and processed by the Delta Corporate Customer Care  *HAN,,,
"After flying 1 million #miles on legacy airlines - @Delta takes the prize!
#forwardthinking
#innovativeproducts
#customerservice
#airline","@391524 Hello, Dennis. Thank you for choosing Delta.  *AFM",,,
"@Delta we are looking to book a large family, if we go basic economy is it reasonable to assume at least the children will be seated with an adult in our party not by themselves?","@261643 However, the seat selection is not guaranteed. We accommodate the seating for children 5 years and under.  *AFC",,,
@Delta reboots me on a flight that arrives after my connection has finished boarding. What a joke.,"@130340 Oh no, let's take a look.  *ATJ",,,
@Delta Just need to print my boarding pass because it wasn’t digitally available,@288493 So are you checked in for your flight? *TMC,,,
@824 @Delta,"@377318 @824 Hi, Leigh. My apologies for the issues. Please follow &amp; Direct Message your Delta confirmation # for review. *HJH",,,
@Delta #KeepClimbing  Mt. Hood #PDX #nofilter ✈️🔺🗻 https://t.co/MxQ6hQoxVt,@399309 Nice shot! Thanks for sharing and thanks for choosing to fly with us. ✈ *AMC,,,
New Years resolution - never ever fly @AmericanAir ever again. Hopefully @Delta from now on,@785219 Hey Dan! Welcome to Delta! We are more than happy to have you on board. See you soon! 😊 *TKR,,,
@Delta maybe my app is just defaulting to that? https://t.co/wp3W0USg9p,@316523 It would depart from the Marine Air Terminal and that would be A.  *HEC,,,
Great flight on @delta today. No delays or anything! Thanks!,@439117 Awesome! Thanks for flying on us! ✈ *TMT,,,
Hey @Delta can u explain how flt#5973 has been delayed over 5 hrs &amp; then somehow the flight plan gets “lost”?? #NOTCOOL,@398856 ...you. *TSB 2/2 https://t.co/6iDGBJAc2m,,,
"@DELTA Can I check a bag that weighs 72 lbs? I'm fine with any fees, just want to check on the process, if any. Thx","@120103 Brian, I am double checking on this for you right now.  *HDG",,,
Thanks @Delta for a great flight from BNA to ATL.  Amazing flight crew. Special thanks to John!,@170189 Thank you! We strive to hear these answers from our passengers. Glad you enjoyed your flight. *TCC,,,
"@Delta, The Shut Up Sisters would like to thank the amazing Orlando based flight crew #1254 for grace under pressure in dealing with annoying passengers.","@296523 Hello, there. You know we love to hear that. We will be happy to forward this to their leadership team. Thanks for tweeting us today. 😊 *TAY",,,
Thanks @Delta for the warm welcome. https://t.co/pR80vhPYVf,"@261333 Very nice, Ralph. We have some of the best flight attendant's in the sky! Have a great flight. *HSL",,,
@Delta I have sent a DM with details. Please review including boarding gate footage of only Asians being asked to hand over unlocked cabin bags.,@266315 Thank you for sharing the details of your experience. Please allow me a moment while I review.  *HJB,,,
"@Delta I’m hanging in there, and you guys are my preferred airline as my history shows. Just wish you’d be real earlier when there are delays. Just now deplaning and still showing on time for a 5:48 departure. No way.",@393696 I definitely understand. I see the boarding process has begun and we will try to have you and your husband on your way to FLL. We truly appreciate both of your loyalty to us.  *HYC,,,
@Delta sent a DM,"@281834 It looks like the flight was changes by one of our representatives, Ravi. *ALA",,,
@Delta I am trying to change my flight due to a time change affecting it and I keep getting an error message - please help,"@463109 Hi there, sorry for the trouble. Please follow and DM your confirmation number.  *HVI",,,
On my flight there are 2 empty comfort+ seats and a long upgrade list. Why were passengers not upgraded to the empty seats? @delta https://t.co/GdeGwmbaqv,"@377568 Hi, there. Were you able to speak with the gate agent regarding your upgrade status? *AAB",,,
@Delta One - 20 year NYC Police officer (retired) she was engaging.  Hope you feature her in your excellent inflight magazine!,@517778 Thank you for your positive feedback and thank you for choosing Delta. Have a great night.  *HPF,,,
@Delta Asking customer care to reply the complaint I've made on July 5th after being mistreated by your staff =),@449479 I'm sorry. Did you call in &amp; talk to a rep or did you file this via the website? *TMT,,,
"@824 abysmal job handling MIL &amp; SIL luggage AMS-MSP. One lost, one soaked. What’s going on? Expect better from top tier airline","@335629 Oh no, I'm very sorry Michele, Our Baggage Team can look into this for you @ (800)-325-8224. *TBT",,,
@Delta another delay in Chicago!  Trying to get to Minneapolis taking off at 8:33 and plane not at gate!!,@381258 Oh no! I'm sorry about the multiple delays. We hope to have you on your way soon! *TCH,,,
"@Delta Hi, I’m on DL5739 tmrw then DL9337. What’s the earliest I can check my bags in pls? Thanks",@399015 But no more than 6 hours in advance of your departure time. *HJH,,,
@Delta shout out to Robbie B gate 84 PIT.  Orig flight delayed he rerouted me so I️ will be on time to greet my 84yo Mom arriving in ORD💎,@509785 for sharing this awesome feedback! 😊 *HAN,,,
"@Delta, Chris is the best ever on DL0340!!! I want him on every #Delta flight going forward!!! Love great flight crew!!","@645929 I will let his leadership teams know. For your privacy, pls follow &amp; Direct Message your Delta confirmation # for reference.  *HJH https://t.co/6iDGBJAc2m",,,
"Seriously...? I am tall,  but not tall enough to be this uncomfortable for an entire flight @Delta https://t.co/pTiekNWVEt",@193039 ...seat since they both have extra leg room. *HPL 2/2,,,
"@Delta I don't want to do for the future, I'm sending how it's shows in the app. I bought and upgrade like this but I got a main cabin seat. 😡",@124928 I'm only showing a purchase from EZE to ATL on 25Oct.  *HML,,,
@Delta Who can I talk too about the issues I have had the past few weeks.,@400866 The flight DL1767 was canceled because of a weather diversion the night before. It was not safe for them to land.  *TMS,,,
"Dear @Delta;

If an airport needs a TRAIN to go from one gate to another, 

IT'S TOO DAMN BIG!!!!!!","@121191 I understand what you are saying &amp; my apologies for the gate change. Yes, the flight is schedule to depart in 45 minutes from gate C7  *HJH",,,
Never ever tire of this view. Thank you @Delta. #dc https://t.co/O1Vmi20AuT,@388357 Awesome picture. Thank you for sharing.  *TDH,,,
@Delta always the best service !! https://t.co/mrvITj74TM,@574023 Awww. Look how cute! Thanks for sharing and for allowing us to be your ride in the sky! ✈ *TSL,,,
"@Delta We are being treated worse than cattle here. Delays, no where near enough seats for 12+ planeloads...
Not Good!
Then we get to fly packed into seats designed for 5th graders?",@121191 I show that your flight is delayed due to ground stops in Atlanta due to thunderstorms.  *HJB,,,
"Please help me, @Delta. Flight was delayed, but app and website failing to let me change. Phone support wait is 2 hours.","@477800 Hi Tom, please DM me your confirmation number so I can see how I can help. Thank you.  *TMB https://t.co/6iDGBJAc2m",,,
OK..... @Delta social team FTW 👊  thanks mucho 😁,@447768 You are very welcome. Tweet anytime! Have a great evening! *TMS,,,
@Delta Hello! Can you please confirm that I have Indian veg Hindu meal on my trip from BOM-RDU?,"@720978 Hello! Yes, the Hindu meal is requested on both of your flights, from BOM and from CDG.  *TSL",,,
So I don’t get why I requested to add my miles from this past sept to my @Delta sky miles and its saying I have 0 miles what the hell.,"@212715 Hi there, please follow and DM your SkyMiles account so I can take a look. https://t.co/6iDGBJAc2m *AST",,,
"Trying to surprise my brother for his 30th..but stuck at RDU 😔 (def understand maint issues tho, Safety first) @Delta #delay","@322759 Hello Danielle, I am sorry for the delay of your flight, causing you to miss your brother's birthday.  Please also forward your... 1/2",,,
@Delta please let DL5260 off shaking plane or at least have crew tell us why we are shaking,@731526 My apologies for your experience. I hate we didn't meet your expectations. *HEC,,,
